sin+,sin-,v_high,v_low,voltage
0,16,2,1,-1.329095e-04
0,16,3,2,-1.953904e-05
0,16,4,3,-8.016229e-05
0,16,5,4,-1.090502e-04
0,16,6,5,-1.228278e-04
0,16,7,6,-1.307540e-04
0,16,8,7,-9.427292e-05
0,16,9,8,-9.137760e-05
0,16,10,9,-7.517799e-05
0,16,11,10,-6.142844e-05
0,16,12,11,-8.270500e-05
0,16,13,12,-1.399250e-05
0,16,14,13,-9.814808e-05
0,16,15,14,-1.683116e-04
0,16,18,17,1.402238e-04
0,16,19,18,5.713090e-05
0,16,20,19,4.799019e-05
0,16,21,20,8.982352e-05
0,16,22,21,9.630946e-05
0,16,23,22,7.442458e-05
0,16,24,23,9.516899e-05
0,16,25,24,6.504756e-05
0,16,26,25,7.995918e-05
0,16,27,26,4.832516e-05
0,16,28,27,5.375559e-05
0,16,29,28,6.511481e-05
0,16,30,29,9.940517e-05
0,16,31,30,1.854104e-04
1,17,3,2,-5.748063e-05
1,17,4,3,-1.568673e-04
1,17,5,4,-1.065804e-04
1,17,6,5,-1.338292e-04
1,17,7,6,-1.254351e-04
1,17,8,7,-1.290518e-04
1,17,9,8,-1.048140e-04
1,17,10,9,-8.721332e-05
1,17,11,10,-6.350915e-05
1,17,12,11,-6.766733e-05
1,17,13,12,-2.838292e-05
1,17,14,13,-6.214072e-05
1,17,15,14,-1.018944e-04
1,17,16,15,-1.853891e-04
1,17,19,18,1.344373e-04
1,17,20,19,1.125574e-04
1,17,21,20,8.482298e-05
1,17,22,21,9.845536e-05
1,17,23,22,9.893227e-05
1,17,24,23,8.752289e-05
1,17,25,24,8.048429e-05
1,17,26,25,6.504801e-05
1,17,27,26,4.445356e-05
1,17,28,27,4.284111e-05
1,17,29,28,5.866382e-05
1,17,30,29,8.212972e-05
1,17,31,30,1.257385e-04
1,17,0,31,2.015940e-04
2,18,1,0,2.425725e-04
2,18,4,3,-3.013796e-04
2,18,5,4,-1.959742e-04
2,18,6,5,-1.754817e-04
2,18,7,6,-1.460855e-04
2,18,8,7,-1.223697e-04
2,18,9,8,-1.012420e-04
2,18,10,9,-8.156731e-05
2,18,11,10,-5.429805e-05
